Contig	Contig_ID	ORF	ORF_ID	ARG	ARG_SNPs	AMR_category	AMR_sub_class	Resistance_mechanism	Database	MGE_prediction	genome_name	newgenome_name
c_000000000002	0000000002	2_127	0000000668	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89
c_000000000002	0000000002	2_280	0000000821	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89
c_000000000002	0000000002	2_421	0000000962	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89
c_000000000016	0000000016	16_38	0000003640	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	CM2_89_S218	CM2_89
c_000000000002	0000000002	2_77	0000000435	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_03_S228	CM6_03
c_000000000003	0000000003	3_252	0000000950	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM6_03_S228	CM6_03
c_000000000014	0000000014	14_40	0000002308	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	CM6_03_S228	CM6_03
c_000000000019	0000000019	19_1	0000002695	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_03_S228	CM6_03
c_000000000041	0000000041	41_8	0000003926	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	chromosome	CM6_03_S228	CM6_03
c_000000000042	0000000042	42_27	0000003978	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_03_S228	CM6_03
c_000000000064	0000000064	64_12	0000004310	TETW	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	RGI	chromosome	CM6_03_S228	CM6_03
c_000000000095	0000000095	95_1	0000004452	TET(W/N/W)	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	RGI	plasmid	CM6_03_S228	CM6_03
c_000000000002	0000000002	2_22	0000000382	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM6_07_S232	CM6_07
c_000000000003	0000000003	3_77	0000000777	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_07_S232	CM6_07
c_000000000015	0000000015	15_40	0000002582	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	CM6_07_S232	CM6_07
c_000000000019	0000000019	19_72	0000002948	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_07_S232	CM6_07
c_000000000039	0000000039	39_8	0000003931	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	chromosome	CM6_07_S232	CM6_07
c_000000000040	0000000040	40_1	0000003957	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_07_S232	CM6_07
c_000000000064	0000000064	64_12	0000004374	TETW	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	RGI	chromosome	CM6_07_S232	CM6_07
c_000000000093	0000000093	93_1	0000004519	TET(W/N/W)	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	RGI	plasmid	CM6_07_S232	CM6_07
c_000000000002	0000000002	2_267	0000000600	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_80_S239	CM6_80
c_000000000003	0000000003	3_22	0000000698	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM6_80_S239	CM6_80
c_000000000015	0000000015	15_40	0000002350	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	CM6_80_S239	CM6_80
c_000000000020	0000000020	20_72	0000002807	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_80_S239	CM6_80
c_000000000041	0000000041	41_8	0000003882	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	chromosome	CM6_80_S239	CM6_80
c_000000000043	0000000043	43_27	0000003964	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	CM6_80_S239	CM6_80
c_000000000065	0000000065	65_1	0000004293	TETW	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	RGI	unclassified	CM6_80_S239	CM6_80
c_000000000095	0000000095	95_1	0000004451	TET(W/N/W)	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	RGI	plasmid	CM6_80_S239	CM6_80
c_000000000011	0000000011	11_61	0000001919	LNUA	n/a	MLS	lincosamide antibiotic	antibiotic inactivation	DeepARG	chromosome	d22_429_S223	d22_429
c_000000000019	0000000019	19_75	0000002718	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	d22_429_S223	d22_429
c_000000000020	0000000020	20_65	0000002800	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	d22_429_S223	d22_429
c_000000000024	0000000024	24_81	0000003166	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	d22_429_S223	d22_429
c_000000000025	0000000025	25_40	0000003207	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	d22_429_S223	d22_429
c_000000000029	0000000029	29_49	0000003504	VATB	n/a	MLS	streptogramin antibiotic	antibiotic inactivation	DeepARG	phage	d22_429_S223	d22_429
c_000000000034	0000000034	34_15	0000003775	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	chromosome	d22_429_S223	d22_429
c_000000000044	0000000044	44_26	0000004230	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	chromosome	d22_429_S223	d22_429
c_000000000048	0000000048	48_25	0000004346	ERMB	n/a	MLS	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	DeepARG/RGI	ambiguous (plasmid/phage)	d22_429_S223	d22_429
c_000000000059	0000000059	59_8	0000004545	BCRA	n/a	bacitracin	peptide antibiotic	antibiotic efflux	DeepARG	chromosome	d22_429_S223	d22_429
c_000000000063	0000000063	63_4	0000004601	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	d22_429_S223	d22_429
c_000000000012	0000000012	12_53	0000001827	LNUA	n/a	MLS	lincosamide antibiotic	antibiotic inactivation	DeepARG	chromosome	d22_5220_S224	d22_5220
c_000000000019	0000000019	19_104	0000002576	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	d22_5220_S224	d22_5220
c_000000000019	0000000019	19_15	0000002487	ERMB	n/a	MLS	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	DeepARG/RGI	ambiguous (phage/chromosome)	d22_5220_S224	d22_5220
c_000000000019	0000000019	19_5	0000002477	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	d22_5220_S224	d22_5220
c_000000000021	0000000021	21_18	0000002685	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	d22_5220_S224	d22_5220
c_000000000025	0000000025	25_2	0000003007	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	d22_5220_S224	d22_5220
c_000000000031	0000000031	31_24	0000003499	VATB	n/a	MLS	streptogramin antibiotic	antibiotic inactivation	DeepARG	phage	d22_5220_S224	d22_5220
c_000000000034	0000000034	34_40	0000003707	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	d22_5220_S224	d22_5220
c_000000000035	0000000035	35_41	0000003763	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	chromosome	d22_5220_S224	d22_5220
c_000000000040	0000000040	40_26	0000003996	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	chromosome	d22_5220_S224	d22_5220
c_000000000061	0000000061	61_16	0000004565	BCRA	n/a	bacitracin	peptide antibiotic	antibiotic efflux	DeepARG	chromosome	d22_5220_S224	d22_5220
c_000000000003	0000000003	3_95	0000000584	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	d22_5505_S225	d22_5505
c_000000000012	0000000012	12_71	0000001714	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	chromosome	d22_5505_S225	d22_5505
c_000000000022	0000000022	22_72	0000002645	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	d22_5505_S225	d22_5505
c_000000000035	0000000035	35_40	0000003499	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	d22_5505_S225	d22_5505
c_000000000050	0000000050	50_27	0000004015	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	d22_5505_S225	d22_5505
c_000000000059	0000000059	59_10	0000004220	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	chromosome	d22_5505_S225	d22_5505
c_000000000072	0000000072	72_1	0000004411	TETW	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	DeepARG/RGI	unclassified	d22_5505_S225	d22_5505
c_000000000002	0000000002	4_159	0000001957	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000002	0000000004	4_159	0000001957	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000002	0000000002	4_440	0000002238	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	chromosome	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000002	0000000004	4_440	0000002238	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000003	3_1502	0000001536	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000005	3_1502	0000001536	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000003	3_962	0000000996	LNUA	n/a	MLS	lincosamide antibiotic	antibiotic inactivation	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000005	3_962	0000000996	LNUA	n/a	MLS	lincosamide antibiotic	antibiotic inactivation	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000003	3_1671	0000001705	VATB	n/a	MLS	streptogramin antibiotic	antibiotic inactivation	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000005	3_1671	0000001705	VATB	n/a	MLS	streptogramin antibiotic	antibiotic inactivation	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000003	5_400	0000003978	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000005	5_400	0000003978	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000003	5_604	0000004182	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000003	0000000005	5_604	0000004182	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_2959_dvf	Cinnocuum_2959
c_000000000001	0000000001	1_1302	0000001302	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1302	0000001302	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1302	0000001302	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1302	0000001302	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1326	0000001326	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1326	0000001326	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1326	0000001326	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1326	0000001326	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1738	0000001738	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1738	0000001738	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1738	0000001738	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1738	0000001738	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_178	0000000178	BRUCELLA SUIS MPRF	n/a	peptide	peptide antibiotic	antibiotic target alteration	RGI	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_178	0000000178	BRUCELLA SUIS MPRF	n/a	peptide	peptide antibiotic	antibiotic target alteration	RGI	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_178	0000000178	BRUCELLA SUIS MPRF	n/a	peptide	peptide antibiotic	antibiotic target alteration	RGI	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_178	0000000178	BRUCELLA SUIS MPRF	n/a	peptide	peptide antibiotic	antibiotic target alteration	RGI	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000002	0000000002	2_154	0000002066	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000002	0000000002	2_251	0000002163	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000002	0000000002	2_254	0000002166	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000002	0000000002	2_33	0000001945	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000003	0000000003	3_310	0000003966	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000003	0000000003	3_493	0000004149	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_I46_dvf	Cinnocuum_I46
c_000000000001	0000000001	1_1056	0000001056	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC_dvf	Cinnocuum_LCLUMC
c_000000000001	0000000001	1_1342	0000001342	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC_dvf	Cinnocuum_LCLUMC
c_000000000002	0000000002	2_1410	0000003202	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC_dvf	Cinnocuum_LCLUMC
c_000000000002	0000000002	2_1640	0000003432	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC_dvf	Cinnocuum_LCLUMC
c_000000000002	0000000002	2_80	0000001872	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	Ref_Cinnocuum_LCLUMC_dvf	Cinnocuum_LCLUMC
c_000000000008	0000000007	7_115	0000000708	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	chromosome	GCA_000183585_2_ASM18358v1_genomic	GCA_000183585
c_000000000050	0000000045	45_145	0000002622	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	chromosome	GCA_000183585_2_ASM18358v1_genomic	GCA_000183585
c_000000000052	0000000047	47_224	0000002874	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	chromosome	GCA_000183585_2_ASM18358v1_genomic	GCA_000183585
c_000000000054	0000000049	49_133	0000003127	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	GCA_000183585_2_ASM18358v1_genomic	GCA_000183585
c_000000000058	0000000053	53_51	0000003674	LNUA	n/a	MLS	lincosamide antibiotic	antibiotic inactivation	DeepARG	chromosome	GCA_000183585_2_ASM18358v1_genomic	GCA_000183585
c_000000000001	0000000001	1_1027	0000001027	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_1027	0000001027	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_1307	0000001307	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_1307	0000001307	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_1445	0000001445	ERMB	n/a	MLS	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	DeepARG/RGI	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_1445	0000001445	ERMB	n/a	MLS	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	DeepARG/RGI	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_368	0000000368	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_368	0000000368	VANS	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_396	0000000396	BCRA	n/a	bacitracin	peptide antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_396	0000000396	BCRA	n/a	bacitracin	peptide antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_517	0000000517	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000001	0000000001	1_517	0000000517	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_20	0000002754	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_20	0000002754	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_395	0000003129	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_395	0000003129	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_76	0000002810	TET(44)	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	DeepARG/RGI	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_76	0000002810	TET(44)	n/a	tetracycline	tetracycline antibiotic	antibiotic target protection	DeepARG/RGI	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_77	0000002811	ANT(6)-IB	n/a	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation	DeepARG/RGI	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
c_000000000003	0000000003	3_77	0000002811	ANT(6)-IB	n/a	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation	DeepARG/RGI	ambiguous (phage/chromosome)	GCA_000242195_1_Erys_bact_21_3_V1_genomic	GCA_000242195
