Gene ID	HMMER	Hotpep	DIAMOND	#ofTools	genome_name
c_000000000015_65	GH13_14(259-573)	GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1)	CBM68+GH13_14	3	CM06_79_S180
c_000000000017_13	GH13_20(33-323)	GH13(61)	GH13	3	CM06_79_S180
c_000000000017_3	GT35(81-751)	GT35(1)	GT35	3	CM06_79_S180
c_000000000017_4	GH77(9-469)	GH77(8)	GH77	3	CM06_79_S180
c_000000000017_96	GH73(295-410)	-	GH73	2	CM06_79_S180
c_000000000018_43	CE9(6-365)	-	CE9	2	CM06_79_S180
c_000000000018_47	GT51(47-220)	GT51(13)	GT51	3	CM06_79_S180
c_000000000018_59	GH43_24(22-267)	GH43(91)	GH43_24	3	CM06_79_S180
c_000000000018_87	GH4(6-183)	GH4(2)	GH4	3	CM06_79_S180
c_000000000019_36	GH109(5-119)	-	-	1	CM06_79_S180
c_000000000019_38	GH1(6-478)	GH1(11)	GH1	3	CM06_79_S180
c_000000000019_40	GH1(1-476)	GH1(57)	GH1	3	CM06_79_S180
c_000000000020_1	GT51(73-270)	GT51(5)	GT51	3	CM06_79_S180
c_000000000020_3	GT51(283-477)	GT51(5)	GT51	3	CM06_79_S180
c_000000000022_54	CE10(422-661)	-	-	1	CM06_79_S180
c_000000000022_8	GH112(6-717)	GH112(1)	GH112	3	CM06_79_S180
c_000000000024_1	CE10(397-630)	-	-	1	CM06_79_S180
c_000000000025_23	GH4(6-180)	GH4(1)	GH4	3	CM06_79_S180
c_000000000026_21	CE4(237-364)	-	CE4	2	CM06_79_S180
c_000000000026_43	CE1(91-258)	-	-	1	CM06_79_S180
c_000000000026_45	CE4(243-359)	CE4(93)	CE4	3	CM06_79_S180
c_000000000028_20	GT5(3-475)	GT5(26)	GT5	3	CM06_79_S180
c_000000000029_23	CE1(13-249)	-	-	1	CM06_79_S180
c_000000000029_45	GH109(2-113)	-	-	1	CM06_79_S180
c_000000000029_5	GT51(45-214)	GT51(58)	GT51	3	CM06_79_S180
c_000000000032_20	GH1(2-472)	GH1(27)	GH1	3	CM06_79_S180
c_000000000034_11	GT2_Glycos_transf_2(5-123)	GT2(193)	GT2	3	CM06_79_S180
c_000000000035_14	GT4(208-355)	GT4(55)	GT4	3	CM06_79_S180
c_000000000035_16	GT4(164-312)	GT4(42)	GT4	3	CM06_79_S180
c_000000000036_3	GT4(247-401)	-	GT4	2	CM06_79_S180
c_000000000037_21	GH4(7-187)	GH4(1)	GH4	3	CM06_79_S180
c_000000000043_21	GT2_Glycos_transf_2(7-166)	-	-	1	CM06_79_S180
c_000000000043_25	GT2_Glycos_transf_2(8-129)	GT2(143)	-	2	CM06_79_S180
c_000000000043_3	GT4(212-358)	GT4(191)	GT4	3	CM06_79_S180
c_000000000043_4	GT2_Glycos_transf_2(9-169)	-	-	1	CM06_79_S180
c_000000000043_5	GT2_Glycos_transf_2(4-123)	-	-	1	CM06_79_S180
c_000000000043_7	GT4(227-369)	-	-	1	CM06_79_S180
c_000000000043_8	GT2_Glycos_transf_2(6-164)	-	-	1	CM06_79_S180
c_000000000048_14	GH112(6-720)	GH112(1)	GH112	3	CM06_79_S180
c_000000000052_4	CE4(44-150)	CE4(84)	CE4	3	CM06_79_S180
c_000000000052_9	GH13_29(25-368)	GH13(3)	GH13_29	3	CM06_79_S180
c_000000000011_51	-	GH0(66)	-	1	CM06_79_S180
c_000000000011_86	-	GH23(34)	GH23	2	CM06_79_S180
c_000000000003_95	-	GH23(34)	GH23	2	CM06_79_S180
c_000000000018_46	-	GH23(192)+CBM50(120)	-	1	CM06_79_S180
c_000000000025_16	-	GH38(8)	-	1	CM06_79_S180
c_000000000005_10	-	CBM5(68)	-	1	CM06_79_S180
c_000000000003_70	-	CBM50(86)	-	1	CM06_79_S180
c_000000000001_5	-	-	GT2	1	CM06_79_S180
c_000000000001_41	-	-	GH13_23	1	CM06_79_S180
c_000000000001_43	-	-	GH13_31	1	CM06_79_S180
c_000000000002_31	-	-	GT47	1	CM06_79_S180
c_000000000002_45	-	-	GH1	1	CM06_79_S180
c_000000000002_119	-	-	GT83	1	CM06_79_S180
c_000000000002_124	-	-	GT4	1	CM06_79_S180
c_000000000002_182	-	-	GH13	1	CM06_79_S180
c_000000000002_188	-	-	CBM0	1	CM06_79_S180
c_000000000002_189	-	-	GH28	1	CM06_79_S180
c_000000000003_43	-	-	CBM50	1	CM06_79_S180
c_000000000003_115	-	-	GT2	1	CM06_79_S180
c_000000000004_144	-	-	GH5_11	1	CM06_79_S180
c_000000000005_30	-	-	GH1	1	CM06_79_S180
c_000000000005_35	-	-	GH170	1	CM06_79_S180
c_000000000006_53	-	-	GH23	1	CM06_79_S180
c_000000000006_148	-	-	GH38	1	CM06_79_S180
c_000000000007_31	-	-	CBM50+GH25	1	CM06_79_S180
c_000000000007_106	-	-	GT30	1	CM06_79_S180
c_000000000008_39	-	-	GT4	1	CM06_79_S180
c_000000000008_79	-	-	GT2	1	CM06_79_S180
c_000000000008_90	-	-	GT4	1	CM06_79_S180
c_000000000009_87	-	-	GH130	1	CM06_79_S180
c_000000000013_100	-	-	GH13_11	1	CM06_79_S180
c_000000000014_12	-	-	GH13_31	1	CM06_79_S180
c_000000000015_33	-	-	GT2	1	CM06_79_S180
c_000000000015_37	-	-	GH25	1	CM06_79_S180
c_000000000017_45	-	-	GH152	1	CM06_79_S180
c_000000000018_15	-	-	GT58	1	CM06_79_S180
c_000000000018_74	-	-	GH84	1	CM06_79_S180
c_000000000018_86	-	-	GH4	1	CM06_79_S180
c_000000000018_89	-	-	GH23	1	CM06_79_S180
c_000000000019_60	-	-	GH13	1	CM06_79_S180
c_000000000021_17	-	-	GT2	1	CM06_79_S180
c_000000000021_46	-	-	GH13_30	1	CM06_79_S180
c_000000000023_46	-	-	GH13	1	CM06_79_S180
c_000000000023_49	-	-	GH28	1	CM06_79_S180
c_000000000024_11	-	-	CBM50	1	CM06_79_S180
c_000000000027_44	-	-	GH1	1	CM06_79_S180
c_000000000028_22	-	-	CBM48+GH13_9	1	CM06_79_S180
c_000000000036_23	-	-	GH3	1	CM06_79_S180
c_000000000037_1	-	-	GT1	1	CM06_79_S180
c_000000000037_30	-	-	CBM50	1	CM06_79_S180
c_000000000039_6	-	-	GH73	1	CM06_79_S180
c_000000000045_8	-	-	GT2	1	CM06_79_S180
c_000000000052_8	-	-	GH13_29	1	CM06_79_S180
c_000000000055_8	-	-	GH23	1	CM06_79_S180
c_000000000064_3	-	-	GH23	1	CM06_79_S180
c_000000000002_110	GT28(189-344)	GT28(25)	GT28	3	CM07_207_S181
c_000000000002_180	GT4(228-370)	-	GT4	2	CM07_207_S181
c_000000000002_181	GT4(186-333)	-	GT4	2	CM07_207_S181
c_000000000002_190	CE4(222-356)	-	-	1	CM07_207_S181
c_000000000003_14	GH109(2-115)	-	-	1	CM07_207_S181
c_000000000003_9	GT4(195-335)	-	-	1	CM07_207_S181
c_000000000004_140	GT5(3-475)	GT5(26)	GT5	3	CM07_207_S181
c_000000000004_53	GH1(3-466)	GH1(19)	GH1	3	CM07_207_S181
c_000000000004_60	CE10(371-630)	-	-	1	CM07_207_S181
c_000000000005_34	GH4(6-183)	GH4(2)	GH4	3	CM07_207_S181
c_000000000005_60	GH43_24(22-267)	GH43(91)	GH43_24	3	CM07_207_S181
c_000000000005_82	GT51(50-221)	GT51(13)	GT51	3	CM07_207_S181
c_000000000005_85	CE9(6-365)	-	CE9	2	CM07_207_S181
c_000000000006_108	GH112(6-717)	GH112(1)	GH112	3	CM07_207_S181
c_000000000007_52	GH1(3-459)	-	GH1	2	CM07_207_S181
c_000000000008_128	GH1(3-471)	-	GH1	2	CM07_207_S181
c_000000000008_91	GH73(287-401)	GH73(56)	GH73	3	CM07_207_S181
c_000000000009_1	GH1(7-473)	GH1(11)	GH1	3	CM07_207_S181
c_000000000010_19	GH1(3-458)	GH1(1)	GH1	3	CM07_207_S181
c_000000000010_5	CE6(54-145)	CE6(2)	CE0	3	CM07_207_S181
c_000000000010_52	GH4(7-187)	GH4(1)	GH4	3	CM07_207_S181
c_000000000010_67	GH73(288-404)	-	GH73	2	CM07_207_S181
c_000000000011_13	GH1(1-476)	GH1(57)	GH1	3	CM07_207_S181
c_000000000011_15	GH1(6-478)	GH1(7)	GH1	3	CM07_207_S181
c_000000000011_57	GH38(3-254)	GH38(10)	GH38	3	CM07_207_S181
c_000000000011_59	GH1(3-456)	GH1(6)	GH1	3	CM07_207_S181
c_000000000012_26	GH1(2-486)	GH1(1)	GH1	3	CM07_207_S181
c_000000000012_28	GH1(2-391)	-	GH1	2	CM07_207_S181
c_000000000012_72	GH1(2-458)	GH1(11)	GH1	3	CM07_207_S181
c_000000000013_15	GH1(6-257)	GH1(48)	-	2	CM07_207_S181
c_000000000013_24	CE10(30-243)	-	-	1	CM07_207_S181
c_000000000013_57	GT14(3-256)	-	GT0	2	CM07_207_S181
c_000000000014_66	GH13_14(259-573)	GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1)	CBM48+GH13_14	3	CM07_207_S181
c_000000000014_68	GT35(96-799)	GT35(1)	GT35	3	CM07_207_S181
c_000000000014_70	GT2_Glycos_transf_2(4-145)	GT2(18)	GT2	3	CM07_207_S181
c_000000000014_75	GT2_Glycos_transf_2(36-199)	GT2(83)+GT4(135)+GT8(43)	GT2	3	CM07_207_S181
c_000000000014_76	GT2_Glycos_transf_2(8-160)	GT2(115)+GT4(135)	GT2	3	CM07_207_S181
c_000000000014_84	CBM48(21-104)+GH13_9(172-459)	GH13(20)+CBM48(6)	CBM48+GH13_9	3	CM07_207_S181
c_000000000016_24	GH1(9-488)	GH1(45)	GH1	3	CM07_207_S181
c_000000000016_31	GH109(4-117)	-	-	1	CM07_207_S181
c_000000000016_56	CBM66(237-391)+GH32(524-831)+CBM66(1094-1257)	GH32(3)+CBM38(1)+CBM66(1)	CBM66+GH32	3	CM07_207_S181
c_000000000017_71	GT51(309-503)	-	GT51	2	CM07_207_S181
c_000000000017_73	GT51(73-270)	-	GT51	2	CM07_207_S181
c_000000000018_11	GH1(7-477)	GH1(11)	GH1	3	CM07_207_S181
c_000000000018_36	GH13_29(25-368)	GH13(3)	GH13_29	3	CM07_207_S181
c_000000000018_41	CE4(44-150)	CE4(84)	CE4	3	CM07_207_S181
c_000000000018_68	GH1(7-480)	GH1(2)	GH1	3	CM07_207_S181
c_000000000019_45	CE4(91-224)	-	-	1	CM07_207_S181
c_000000000020_50	GH1(5-486)	GH1(1)	GH1	3	CM07_207_S181
c_000000000021_35	GH1(7-467)	GH1(66)	GH1	3	CM07_207_S181
c_000000000021_6	GH109(2-114)	-	-	1	CM07_207_S181
c_000000000022_10	GH25(113-303)	GH25(33)	GH25	3	CM07_207_S181
c_000000000023_10	CE4(243-359)	CE4(93)	CE4	3	CM07_207_S181
c_000000000023_12	CE1(83-248)	-	-	1	CM07_207_S181
c_000000000023_38	CE4(235-362)	-	CE4	2	CM07_207_S181
c_000000000023_46	GT4(164-312)	GT4(42)	GT4	3	CM07_207_S181
c_000000000023_48	GT4(207-351)	GT4(55)	GT4	3	CM07_207_S181
c_000000000023_66	GH25(6-181)	GH25(88)	GH25	3	CM07_207_S181
c_000000000024_32	GH109(5-119)	-	-	1	CM07_207_S181
c_000000000025_23	GH112(6-720)	GH112(1)	GH112	3	CM07_207_S181
c_000000000025_64	CE4(241-356)	CE4(67)	CE4	3	CM07_207_S181
c_000000000028_33	CE10(26-276)	-	-	1	CM07_207_S181
c_000000000028_34	CE10(44-269)	-	-	1	CM07_207_S181
c_000000000028_35	GH32(9-308)	GH32(38)+CBM38(7)	GH32	3	CM07_207_S181
c_000000000029_26	CE1(14-249)	-	-	1	CM07_207_S181
c_000000000029_8	GT51(45-213)	GT51(58)	GT51	3	CM07_207_S181
c_000000000030_25	GH1(1-476)	GH1(1)	GH1	3	CM07_207_S181
c_000000000033_34	GH4(4-181)	GH4(14)	GH4	3	CM07_207_S181
c_000000000033_37	CE9(6-369)	CE9(63)	CE9	3	CM07_207_S181
c_000000000033_48	CE4(240-369)	CE4(67)	CE4	3	CM07_207_S181
c_000000000040_18	CE9(4-375)	CE9(43)	CE9	3	CM07_207_S181
c_000000000041_47	GH1(5-480)	GH1(11)	GH1	3	CM07_207_S181
c_000000000042_54	GH13_20(34-324)	GH13(61)	GH13	3	CM07_207_S181
c_000000000045_9	GH38(5-277)	-	GH38	2	CM07_207_S181
c_000000000046_21	GT2_Glycos_transf_2(5-150)	GT2(193)	GT2	3	CM07_207_S181
c_000000000051_2	GH1(4-483)	GH1(11)	GH1	3	CM07_207_S181
c_000000000071_3	GH1(2-470)	GH1(1)	GH1	3	CM07_207_S181
c_000000000073_13	GH77(9-469)	GH77(5)	GH77	3	CM07_207_S181
c_000000000073_14	GT35(81-751)	GT35(1)	GT35	3	CM07_207_S181
c_000000000075_6	CE10(421-660)	-	-	1	CM07_207_S181
c_000000000009_125	-	GH0(66)	-	1	CM07_207_S181
c_000000000050_28	-	GH23(34)	GH23	2	CM07_207_S181
c_000000000056_14	-	GH23(34)	GH23	2	CM07_207_S181
c_000000000070_17	-	GH23(34)	GH23	2	CM07_207_S181
c_000000000031_11	-	GH23(34)	GH23	2	CM07_207_S181
c_000000000060_12	-	GH23(34)	GH23	2	CM07_207_S181
c_000000000035_37	-	GH23(34)	GH23	2	CM07_207_S181
c_000000000005_83	-	GH23(192)	-	1	CM07_207_S181
c_000000000028_36	-	GH32(46)	-	1	CM07_207_S181
c_000000000034_51	-	GH38(8)	-	1	CM07_207_S181
c_000000000074_5	-	CBM5(68)	-	1	CM07_207_S181
c_000000000002_129	-	CBM5(68)	-	1	CM07_207_S181
c_000000000002_54	-	CBM6(53)	-	1	CM07_207_S181
c_000000000001_30	-	-	GH13_30	1	CM07_207_S181
c_000000000001_83	-	-	GT2	1	CM07_207_S181
c_000000000001_175	-	-	GH1	1	CM07_207_S181
c_000000000001_194	-	-	GT47	1	CM07_207_S181
c_000000000002_95	-	-	CBM0	1	CM07_207_S181
c_000000000002_142	-	-	GT4	1	CM07_207_S181
c_000000000002_168	-	-	GT2	1	CM07_207_S181
c_000000000003_11	-	-	GT4	1	CM07_207_S181
c_000000000003_25	-	-	GT0	1	CM07_207_S181
c_000000000003_44	-	-	GH3	1	CM07_207_S181
c_000000000003_62	-	-	GH23	1	CM07_207_S181
c_000000000003_123	-	-	GH23	1	CM07_207_S181
c_000000000003_140	-	-	GH23	1	CM07_207_S181
c_000000000004_7	-	-	GH1	1	CM07_207_S181
c_000000000004_70	-	-	CBM50	1	CM07_207_S181
c_000000000004_142	-	-	CBM48+GH13_9	1	CM07_207_S181
c_000000000005_35	-	-	GH4	1	CM07_207_S181
c_000000000005_40	-	-	GH84	1	CM07_207_S181
c_000000000005_114	-	-	GT58	1	CM07_207_S181
c_000000000005_144	-	-	GH13_11	1	CM07_207_S181
c_000000000007_8	-	-	GH23	1	CM07_207_S181
c_000000000010_32	-	-	GT1	1	CM07_207_S181
c_000000000010_62	-	-	CBM50	1	CM07_207_S181
c_000000000010_100	-	-	GH92	1	CM07_207_S181
c_000000000014_15	-	-	GH13_31	1	CM07_207_S181
c_000000000014_81	-	-	GH25	1	CM07_207_S181
c_000000000014_85	-	-	GT2	1	CM07_207_S181
c_000000000015_39	-	-	GH23	1	CM07_207_S181
c_000000000016_59	-	-	GH170	1	CM07_207_S181
c_000000000016_64	-	-	GH1	1	CM07_207_S181
c_000000000018_26	-	-	GT2	1	CM07_207_S181
c_000000000018_37	-	-	GH13_29	1	CM07_207_S181
c_000000000021_61	-	-	GH23	1	CM07_207_S181
c_000000000024_53	-	-	GH170	1	CM07_207_S181
c_000000000024_67	-	-	GH13	1	CM07_207_S181
c_000000000025_50	-	-	GH73	1	CM07_207_S181
c_000000000025_52	-	-	CBM50	1	CM07_207_S181
c_000000000026_3	-	-	GH38	1	CM07_207_S181
c_000000000027_40	-	-	GH13	1	CM07_207_S181
c_000000000027_43	-	-	GH28	1	CM07_207_S181
c_000000000029_53	-	-	GH23	1	CM07_207_S181
c_000000000030_48	-	-	GH152	1	CM07_207_S181
c_000000000032_11	-	-	GT2	1	CM07_207_S181
c_000000000032_26	-	-	CBM50	1	CM07_207_S181
c_000000000033_19	-	-	GT30	1	CM07_207_S181
c_000000000036_38	-	-	GT2	1	CM07_207_S181
c_000000000037_16	-	-	GH13_31	1	CM07_207_S181
c_000000000037_18	-	-	GH13_23	1	CM07_207_S181
c_000000000038_12	-	-	GH23	1	CM07_207_S181
c_000000000041_25	-	-	CBM50	1	CM07_207_S181
c_000000000043_17	-	-	GH28	1	CM07_207_S181
c_000000000043_22	-	-	GH13	1	CM07_207_S181
c_000000000048_26	-	-	GT4	1	CM07_207_S181
c_000000000048_31	-	-	GT83	1	CM07_207_S181
c_000000000052_16	-	-	GH5_11	1	CM07_207_S181
c_000000000057_4	-	-	CBM50+GH25	1	CM07_207_S181
c_000000000058_19	-	-	GH130	1	CM07_207_S181
c_000000000001_175	CE4(91-224)	-	-	1	CM07_211_S182
c_000000000001_19	GH1(3-458)	GH1(1)	GH1	3	CM07_211_S182
c_000000000001_5	CE6(54-145)	CE6(2)	CE0	3	CM07_211_S182
c_000000000001_52	GH4(7-187)	GH4(1)	GH4	3	CM07_211_S182
c_000000000001_67	GH73(288-404)	-	GH73	2	CM07_211_S182
c_000000000003_16	GT4(186-333)	-	GT4	2	CM07_211_S182
c_000000000003_17	GT4(228-370)	-	GT4	2	CM07_211_S182
c_000000000003_7	CE4(222-356)	-	-	1	CM07_211_S182
c_000000000003_87	GT28(189-344)	GT28(25)	GT28	3	CM07_211_S182
c_000000000004_14	GH109(2-115)	-	-	1	CM07_211_S182
c_000000000004_9	GT4(195-335)	-	-	1	CM07_211_S182
c_000000000005_140	GT5(3-475)	GT5(26)	GT5	3	CM07_211_S182
c_000000000005_53	GH1(3-466)	GH1(19)	GH1	3	CM07_211_S182
c_000000000005_60	CE10(371-630)	-	-	1	CM07_211_S182
c_000000000006_103	GH43_24(22-267)	GH43(91)	GH43_24	3	CM07_211_S182
c_000000000006_129	GH4(6-183)	GH4(2)	GH4	3	CM07_211_S182
c_000000000006_78	CE9(6-365)	-	CE9	2	CM07_211_S182
c_000000000006_81	GT51(50-221)	GT51(13)	GT51	3	CM07_211_S182
c_000000000007_38	GH112(6-717)	GH112(1)	GH112	3	CM07_211_S182
c_000000000008_81	GH1(3-459)	-	GH1	2	CM07_211_S182
c_000000000009_46	GH73(287-401)	GH73(56)	GH73	3	CM07_211_S182
c_000000000009_9	GH1(3-471)	-	GH1	2	CM07_211_S182
c_000000000010_131	GH1(7-473)	GH1(11)	GH1	3	CM07_211_S182
c_000000000011_26	GH1(2-486)	GH1(1)	GH1	3	CM07_211_S182
c_000000000011_28	GH1(2-391)	-	GH1	2	CM07_211_S182
c_000000000011_72	GH1(2-458)	GH1(11)	GH1	3	CM07_211_S182
c_000000000012_118	GH1(6-478)	GH1(7)	GH1	3	CM07_211_S182
c_000000000012_120	GH1(1-476)	GH1(57)	GH1	3	CM07_211_S182
c_000000000012_74	GH1(3-456)	GH1(6)	GH1	3	CM07_211_S182
c_000000000012_76	GH38(3-254)	GH38(10)	GH38	3	CM07_211_S182
c_000000000013_58	GH1(5-486)	GH1(1)	GH1	3	CM07_211_S182
c_000000000014_66	GH13_14(259-573)	GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1)	CBM48+GH13_14	3	CM07_211_S182
c_000000000014_68	GT35(96-799)	GT35(1)	GT35	3	CM07_211_S182
c_000000000014_70	GT2_Glycos_transf_2(4-145)	GT2(18)	GT2	3	CM07_211_S182
c_000000000014_75	GT2_Glycos_transf_2(36-199)	GT2(83)+GT4(135)+GT8(43)	GT2	3	CM07_211_S182
c_000000000014_76	GT2_Glycos_transf_2(8-160)	GT2(115)+GT4(135)	GT2	3	CM07_211_S182
c_000000000014_84	CBM48(21-104)+GH13_9(172-459)	GH13(20)+CBM48(6)	CBM48+GH13_9	3	CM07_211_S182
c_000000000015_61	GH32(9-308)	GH32(38)+CBM38(7)	GH32	3	CM07_211_S182
c_000000000015_62	CE10(44-269)	-	-	1	CM07_211_S182
c_000000000015_63	CE10(26-276)	-	-	1	CM07_211_S182
c_000000000016_15	GH1(6-257)	GH1(48)	-	2	CM07_211_S182
c_000000000016_24	CE10(30-243)	-	-	1	CM07_211_S182
c_000000000016_57	GT14(3-256)	-	GT0	2	CM07_211_S182
c_000000000017_24	GH1(9-488)	GH1(45)	GH1	3	CM07_211_S182
c_000000000017_31	GH109(4-117)	-	-	1	CM07_211_S182
c_000000000017_56	CBM66(237-391)+GH32(524-831)+CBM66(1094-1257)	GH32(3)+CBM38(1)+CBM66(1)	CBM66+GH32	3	CM07_211_S182
c_000000000019_2	GT51(73-270)	-	GT51	2	CM07_211_S182
c_000000000019_4	GT51(309-503)	-	GT51	2	CM07_211_S182
c_000000000020_19	GH1(7-480)	GH1(2)	GH1	3	CM07_211_S182
c_000000000020_46	CE4(44-150)	CE4(84)	CE4	3	CM07_211_S182
c_000000000020_51	GH13_29(25-368)	GH13(3)	GH13_29	3	CM07_211_S182
c_000000000020_76	GH1(7-477)	GH1(11)	GH1	3	CM07_211_S182
c_000000000021_35	GH1(7-467)	GH1(66)	GH1	3	CM07_211_S182
c_000000000021_6	GH109(2-114)	-	-	1	CM07_211_S182
c_000000000022_66	GH25(113-303)	GH25(33)	GH25	3	CM07_211_S182
c_000000000023_10	CE4(243-359)	CE4(93)	CE4	3	CM07_211_S182
c_000000000023_12	CE1(83-248)	-	-	1	CM07_211_S182
c_000000000023_38	CE4(235-362)	-	CE4	2	CM07_211_S182
c_000000000023_46	GT4(164-312)	GT4(42)	GT4	3	CM07_211_S182
c_000000000023_48	GT4(207-351)	GT4(55)	GT4	3	CM07_211_S182
c_000000000023_66	GH25(6-181)	GH25(88)	GH25	3	CM07_211_S182
c_000000000025_39	GH109(5-119)	-	-	1	CM07_211_S182
c_000000000026_1	CE4(241-356)	CE4(67)	CE4	3	CM07_211_S182
c_000000000026_42	GH112(6-720)	GH112(1)	GH112	3	CM07_211_S182
c_000000000029_33	CE1(14-249)	-	-	1	CM07_211_S182
c_000000000029_51	GT51(45-213)	GT51(58)	GT51	3	CM07_211_S182
c_000000000030_25	GH1(1-476)	GH1(1)	GH1	3	CM07_211_S182
c_000000000032_1	CE4(240-369)	CE4(67)	CE4	3	CM07_211_S182
c_000000000032_12	CE9(6-369)	CE9(63)	CE9	3	CM07_211_S182
c_000000000032_15	GH4(4-181)	GH4(14)	GH4	3	CM07_211_S182
c_000000000037_26	CE9(4-375)	CE9(43)	CE9	3	CM07_211_S182
c_000000000038_1	GH1(5-480)	GH1(11)	GH1	3	CM07_211_S182
c_000000000041_34	GH38(5-277)	-	GH38	2	CM07_211_S182
c_000000000042_21	GT2_Glycos_transf_2(5-150)	GT2(193)	GT2	3	CM07_211_S182
c_000000000048_2	GH1(4-483)	GH1(11)	GH1	3	CM07_211_S182
c_000000000069_13	GH1(2-470)	GH1(1)	GH1	3	CM07_211_S182
c_000000000071_13	GH77(9-469)	GH77(5)	GH77	3	CM07_211_S182
c_000000000071_14	GT35(81-751)	GT35(1)	GT35	3	CM07_211_S182
c_000000000073_6	CE10(421-660)	-	-	1	CM07_211_S182
c_000000000079_2	GH13_20(34-324)	GH13(61)	GH13	3	CM07_211_S182
c_000000000010_7	-	GH0(66)	-	1	CM07_211_S182
c_000000000047_11	-	GH23(34)	GH23	2	CM07_211_S182
c_000000000049_21	-	GH23(34)	GH23	2	CM07_211_S182
c_000000000078_10	-	GH23(34)	GH23	2	CM07_211_S182
c_000000000057_14	-	GH23(34)	GH23	2	CM07_211_S182
c_000000000067_11	-	GH23(34)	GH23	2	CM07_211_S182
c_000000000054_14	-	GH23(34)	GH23	2	CM07_211_S182
c_000000000006_80	-	GH23(192)	-	1	CM07_211_S182
c_000000000015_60	-	GH32(46)	-	1	CM07_211_S182
c_000000000033_51	-	GH38(8)	-	1	CM07_211_S182
c_000000000072_5	-	CBM5(68)	-	1	CM07_211_S182
c_000000000003_68	-	CBM5(68)	-	1	CM07_211_S182
c_000000000003_143	-	CBM6(53)	-	1	CM07_211_S182
c_000000000001_32	-	-	GT1	1	CM07_211_S182
c_000000000001_62	-	-	CBM50	1	CM07_211_S182
c_000000000001_100	-	-	GH92	1	CM07_211_S182
c_000000000002_29	-	-	GT47	1	CM07_211_S182
