ORF_ID	ORF	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description	genome_name
0000004023	22_4	PF13091.1	95.8	4.3e-28	PLDc_2	-	PFAM	PLD-like domain	CM1_52_S208
0000004036	22_17	PF07883.6	56.7	3.4e-16	Cupin_2	-	PFAM	Cupin domain	CM1_52_S208
0000004040	22_21	PF07883.6	69.6	3.3e-20	Cupin_2	-	PFAM	Cupin domain	CM1_52_S208
0000004068	24_5	PF07883.6	62.8	4.1e-18	Cupin_2	-	PFAM	Cupin domain	CM1_52_S208
0000004093	25_9	PF02452.12	102.3	4.5000000000000004e-30	PemK	-	PFAM	PemK-like protein	CM1_52_S208
0000004187	40_1	PF01325.14	46.5	7.1e-13	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain	CM1_52_S208
0000004187	40_1	PF02742.10	61.5	1.2e-17	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM1_52_S208
0000000035	1_35	PF14057.1	642.9	1.8999999999999998e-194	GGGtGRT	-	PFAM	GGGtGRT protein	CM1_53_S216
0000000129	1_129	PF07883.6	42.2	1.1e-11	Cupin_2	-	PFAM	Cupin domain	CM1_53_S216
0000000213	1_213	PF04221.7	59.5	5.6e-17	RelB	-	PFAM	RelB antitoxin	CM1_53_S216
0000000214	1_214	PF05016.9	46.9	7.3e-13	Plasmid_stabil	-	PFAM	Plasmid stabilisation system protein	CM1_53_S216
0000000220	1_220	TIGR01593	93.1	2.8e-27	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM1_53_S216
0000000220	1_220	PF05105.7	143.7	4.9e-43	Phage_holin_4	-	PFAM	Holin family	CM1_53_S216
0000000261	1_261	K11060_3	51.9	1e-14	entB	-	KEGG	probable enterotoxin B	CM1_53_S216
0000000290	1_290	PF07927.7	60	4.1e-17	YcfA	-	PFAM	YcfA-like protein	CM1_53_S216
0000000505	2_56	PF00881.19	80.3	3.6e-23	Nitroreductase	-	PFAM	Nitroreductase family	CM1_53_S216
0000000728	2_279	K11062_2	50.2	3e-14	entD	-	KEGG	probable enterotoxin D	CM1_53_S216
0000000979	3_142	PF05193.16	87	3.1999999999999997e-25	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM1_53_S216
0000000980	3_143	PF00675.15	63.8	3.8e-18	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)	CM1_53_S216
0000000980	3_143	PF05193.16	51.6	2.4e-14	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM1_53_S216
0000000987	3_150	PF00881.19	108.6	7.299999999999999e-32	Nitroreductase	-	PFAM	Nitroreductase family	CM1_53_S216
0000001002	3_165	PF00717.18	58.8	8.3e-17	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_53_S216
0000001003	3_166	PF00717.18	54.8	1.4e-15	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_53_S216
0000001060	3_223	PF07883.6	45.6	9.9e-13	Cupin_2	-	PFAM	Cupin domain	CM1_53_S216
0000001191	4_11	PF07927.7	59.4	6.6e-17	YcfA	-	PFAM	YcfA-like protein	CM1_53_S216
0000001194	4_14	TIGR01593	57.1	3.6e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM1_53_S216
0000001194	4_14	PF05105.7	72.7	5.3e-21	Phage_holin_4	-	PFAM	Holin family	CM1_53_S216
0000001338	4_158	K03699_483	530.6	5.1999999999999994e-160	tlyC	-	KEGG	putative hemolysin	CM1_53_S216
0000001417	4_237	PF00903.20	47.8	3.5e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_53_S216
0000001553	5_19	PF04734.8	40.4	2.4e-11	Ceramidase_alk	-	PFAM	Neutral/alkaline non-lysosomal ceramidase	CM1_53_S216
0000001640	5_106	K11063_6	78.9	2.6e-23	tcdAB	-	KEGG	toxin A\/B	CM1_53_S216
0000001641	5_107	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	CM1_53_S216
0000001641	5_107	K11063_6	83.8	8.7e-25	tcdAB	-	KEGG	toxin A\/B	CM1_53_S216
0000001783	5_249	PF13958.1	120.8	1.1999999999999999e-35	ToxN_toxin	-	PFAM	Toxin ToxN, type III toxin-antitoxin system	CM1_53_S216
0000002006	6_169	PF00881.19	103.9	2.1000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM1_53_S216
0000002239	7_117	PF00903.20	47.7	3.9e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_53_S216
0000002240	7_118	PF00881.19	103.5	2.7000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM1_53_S216
0000002583	8_221	PF00881.19	84.8	1.4999999999999998e-24	Nitroreductase	-	PFAM	Nitroreductase family	CM1_53_S216
0000002722	9_112	PF04734.8	52.8	4.2e-15	Ceramidase_alk	-	PFAM	Neutral/alkaline non-lysosomal ceramidase	CM1_53_S216
0000002732	9_122	PF10502.4	47.2	4e-13	Peptidase_S26	-	PFAM	Signal peptidase, peptidase S26	CM1_53_S216
0000002732	9_122	PF00717.18	55.6	8.1e-16	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_53_S216
0000002861	10_16	PF13950.1	81.7	7.1e-24	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit	CM1_53_S216
0000002873	10_28	PF01636.18	52.2	1.9e-14	APH	-	PFAM	Phosphotransferase enzyme family	CM1_53_S216
0000003290	13_29	PF00903.20	60.9	3.1e-17	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_53_S216
0000003338	13_77	PF03372.18	94.7	2.3e-27	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family	CM1_53_S216
0000003359	13_98	K11068_1278_95_625	201.4	2.5e-60	hlyIII	-	KEGG	hemolysin III	CM1_53_S216
0000003376	14_4	TIGR01593	57.1	3.6e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM1_53_S216
0000003376	14_4	PF05105.7	72.7	5.3e-21	Phage_holin_4	-	PFAM	Holin family	CM1_53_S216
0000003465	14_93	PF07883.6	48.8	1e-13	Cupin_2	-	PFAM	Cupin domain	CM1_53_S216
0000003528	15_33	PF01636.18	73.5	5.8e-21	APH	-	PFAM	Phosphotransferase enzyme family	CM1_53_S216
0000003536	15_41	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	CM1_53_S216
0000003544	15_49	PF00881.19	114	1.7e-33	Nitroreductase	-	PFAM	Nitroreductase family	CM1_53_S216
0000003575	15_80	PF00903.20	46.8	7.3e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_53_S216
0000003733	17_52	PF13091.1	95.8	4.3e-28	PLDc_2	-	PFAM	PLD-like domain	CM1_53_S216
0000003746	17_65	PF07883.6	56.7	3.3e-16	Cupin_2	-	PFAM	Cupin domain	CM1_53_S216
0000003750	17_69	PF07883.6	69.6	3.3e-20	Cupin_2	-	PFAM	Cupin domain	CM1_53_S216
0000003955	20_49	K10815_8	54.2	1.7e-15	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]	CM1_53_S216
0000003956	20_50	K10816_8	68	1.2e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	CM1_53_S216
0000003964	20_58	PF00717.18	49.4	7e-14	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_53_S216
0000004006	21_35	K11063_6	101	5.4000000000000005e-30	tcdAB	-	KEGG	toxin A\/B	CM1_53_S216
0000004081	24_17	PF07883.6	62.8	4.1e-18	Cupin_2	-	PFAM	Cupin domain	CM1_53_S216
0000004094	25_9	PF02452.12	102.3	4.5000000000000004e-30	PemK	-	PFAM	PemK-like protein	CM1_53_S216
0000004182	40_1	PF01325.14	46.5	7.1e-13	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain	CM1_53_S216
0000004182	40_1	PF02742.10	61.5	1.2e-17	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM1_53_S216
0000000011	1_11	PF07927.7	59.4	6.6e-17	YcfA	-	PFAM	YcfA-like protein	CM2_89_S218
0000000014	1_14	TIGR01593	57.1	3.6e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM2_89_S218
0000000014	1_14	PF05105.7	72.7	5.3e-21	Phage_holin_4	-	PFAM	Holin family	CM2_89_S218
0000000158	1_158	K03699_483	530.6	5.1999999999999994e-160	tlyC	-	KEGG	putative hemolysin	CM2_89_S218
0000000237	1_237	PF00903.20	47.8	3.5e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM2_89_S218
0000000514	1_514	PF01636.18	52.2	1.9e-14	APH	-	PFAM	Phosphotransferase enzyme family	CM2_89_S218
0000000526	1_526	PF13950.1	81.7	7.1e-24	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit	CM2_89_S218
0000000700	2_159	PF07927.7	60	4.1e-17	YcfA	-	PFAM	YcfA-like protein	CM2_89_S218
0000000729	2_188	K11060_3	51.9	1e-14	entB	-	KEGG	probable enterotoxin B	CM2_89_S218
0000000770	2_229	TIGR01593	93.1	2.8e-27	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM2_89_S218
0000000770	2_229	PF05105.7	143.7	4.9e-43	Phage_holin_4	-	PFAM	Holin family	CM2_89_S218
0000000776	2_235	PF05016.9	46.9	7.3e-13	Plasmid_stabil	-	PFAM	Plasmid stabilisation system protein	CM2_89_S218
0000000777	2_236	PF04221.7	59.5	5.6e-17	RelB	-	PFAM	RelB antitoxin	CM2_89_S218
0000000861	2_320	PF07883.6	42.2	1.1e-11	Cupin_2	-	PFAM	Cupin domain	CM2_89_S218
0000000955	2_414	PF14057.1	642.9	1.8999999999999998e-194	GGGtGRT	-	PFAM	GGGtGRT protein	CM2_89_S218
0000001099	3_110	K11062_2	50.2	3e-14	entD	-	KEGG	probable enterotoxin D	CM2_89_S218
0000001323	3_334	PF00881.19	80.3	3.6e-23	Nitroreductase	-	PFAM	Nitroreductase family	CM2_89_S218
0000001520	4_142	PF05193.16	87	3.1999999999999997e-25	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM2_89_S218
0000001521	4_143	PF00675.15	63.8	3.8e-18	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)	CM2_89_S218
0000001521	4_143	PF05193.16	51.6	2.4e-14	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM2_89_S218
0000001528	4_150	PF00881.19	108.6	7.299999999999999e-32	Nitroreductase	-	PFAM	Nitroreductase family	CM2_89_S218
0000001543	4_165	PF00717.18	58.8	8.3e-17	Peptidase_S24	-	PFAM	Peptidase S24-like	CM2_89_S218
0000001544	4_166	PF00717.18	54.8	1.4e-15	Peptidase_S24	-	PFAM	Peptidase S24-like	CM2_89_S218
0000001601	4_223	PF07883.6	45.6	1e-12	Cupin_2	-	PFAM	Cupin domain	CM2_89_S218
0000001739	5_18	PF04734.8	40.4	2.4e-11	Ceramidase_alk	-	PFAM	Neutral/alkaline non-lysosomal ceramidase	CM2_89_S218
0000001826	5_105	K11063_6	78.9	2.6e-23	tcdAB	-	KEGG	toxin A\/B	CM2_89_S218
0000001827	5_106	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	CM2_89_S218
0000001827	5_106	K11063_6	83.8	8.7e-25	tcdAB	-	KEGG	toxin A\/B	CM2_89_S218
0000001969	5_248	PF13958.1	120.8	1.1999999999999999e-35	ToxN_toxin	-	PFAM	Toxin ToxN, type III toxin-antitoxin system	CM2_89_S218
0000002192	6_169	PF00881.19	103.9	2.1000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM2_89_S218
0000002425	7_117	PF00903.20	47.7	3.9e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM2_89_S218
0000002426	7_118	PF00881.19	103.5	2.7000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM2_89_S218
0000002660	8_112	PF04734.8	52.8	4.2e-15	Ceramidase_alk	-	PFAM	Neutral/alkaline non-lysosomal ceramidase	CM2_89_S218
0000002670	8_122	PF10502.4	47.2	4e-13	Peptidase_S26	-	PFAM	Signal peptidase, peptidase S26	CM2_89_S218
0000002670	8_122	PF00717.18	55.6	8.1e-16	Peptidase_S24	-	PFAM	Peptidase S24-like	CM2_89_S218
0000002925	9_143	PF00881.19	84.8	1.4999999999999998e-24	Nitroreductase	-	PFAM	Nitroreductase family	CM2_89_S218
0000003194	12_14	K11068_1278_95_625	201.4	2.5e-60	hlyIII	-	KEGG	hemolysin III	CM2_89_S218
0000003215	12_35	PF03372.18	94.7	2.3e-27	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family	CM2_89_S218
0000003263	12_83	PF00903.20	60.9	3.1e-17	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM2_89_S218
0000003323	13_31	PF07883.6	48.8	1e-13	Cupin_2	-	PFAM	Cupin domain	CM2_89_S218
0000003412	13_120	TIGR01593	57.1	3.6e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM2_89_S218
0000003412	13_120	PF05105.7	72.7	5.3e-21	Phage_holin_4	-	PFAM	Holin family	CM2_89_S218
0000003448	14_33	PF01636.18	73.5	5.8e-21	APH	-	PFAM	Phosphotransferase enzyme family	CM2_89_S218
0000003456	14_41	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	CM2_89_S218
0000003464	14_49	PF00881.19	114	1.7e-33	Nitroreductase	-	PFAM	Nitroreductase family	CM2_89_S218
0000003495	14_80	PF00903.20	46.8	7.3e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM2_89_S218
0000003610	16_8	PF07883.6	69.6	3.3e-20	Cupin_2	-	PFAM	Cupin domain	CM2_89_S218
0000003614	16_12	PF07883.6	56.7	3.3e-16	Cupin_2	-	PFAM	Cupin domain	CM2_89_S218
0000003628	16_26	PF13091.1	95.8	4.3e-28	PLDc_2	-	PFAM	PLD-like domain	CM2_89_S218
0000003877	19_49	K10815_8	54.2	1.7e-15	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]	CM2_89_S218
0000003878	19_50	K10816_8	68	1.2e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	CM2_89_S218
0000003886	19_58	PF00717.18	49.4	7e-14	Peptidase_S24	-	PFAM	Peptidase S24-like	CM2_89_S218
0000003994	21_35	K11063_6	101	5.4000000000000005e-30	tcdAB	-	KEGG	toxin A\/B	CM2_89_S218
0000004057	24_5	PF07883.6	62.8	4.1e-18	Cupin_2	-	PFAM	Cupin domain	CM2_89_S218
0000004082	25_9	PF02452.12	102.3	4.5000000000000004e-30	PemK	-	PFAM	PemK-like protein	CM2_89_S218
0000004186	41_2	PF01325.14	46.5	7.1e-13	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain	CM2_89_S218
0000004186	41_2	PF02742.10	61.5	1.2e-17	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM2_89_S218
0000000103	1_103	PF00903.20	47.8	3.7e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM6_03_S228
0000000167	1_167	PF01325.14	51.7	1.7e-14	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain	CM6_03_S228
0000000170	1_170	PF02452.12	94.3	1.4e-27	PemK	-	PFAM	PemK-like protein	CM6_03_S228
0000000189	1_189	PF02742.10	46.3	7.5e-13	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM6_03_S228
0000000195	1_195	TIGR02385	90.3	1.9999999999999998e-26	RelE_StbE	-	TIGR	addiction module toxin, RelE/StbE family	CM6_03_S228
0000000195	1_195	TIGR00053	79.8	4.1000000000000003e-23	TIGR00053	-	TIGR	addiction module toxin component, YafQ family	CM6_03_S228
0000000196	1_196	PF04221.7	60.8	2.3e-17	RelB	-	PFAM	RelB antitoxin	CM6_03_S228
0000000246	1_246	PF01325.14	42.3	1.5e-11	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain	CM6_03_S228
0000000246	1_246	PF02742.10	47.7	2.7e-13	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM6_03_S228
0000000255	1_255	PF02742.10	45.6	1.2e-12	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain	CM6_03_S228
0000000363	2_5	PF01636.18	75	2.1e-21	APH	-	PFAM	Phosphotransferase enzyme family	CM6_03_S228
0000000371	2_13	K03699_483	274.1	3.7999999999999996e-82	tlyC	-	KEGG	putative hemolysin	CM6_03_S228
0000000377	2_19	PF00881.19	114	1.7999999999999998e-33	Nitroreductase	-	PFAM	Nitroreductase family	CM6_03_S228
0000000422	2_64	PF00903.20	46.8	7.7e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM6_03_S228
0000000588	2_230	PF05193.16	87	3.4e-25	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM6_03_S228
0000000589	2_231	PF05193.16	48.7	2e-13	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM6_03_S228
0000000589	2_231	PF00675.15	63.9	4e-18	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)	CM6_03_S228
0000000596	2_238	PF00881.19	108.6	7.799999999999999e-32	Nitroreductase	-	PFAM	Nitroreductase family	CM6_03_S228
0000000611	2_253	PF00717.18	58.8	8.8e-17	Peptidase_S24	-	PFAM	Peptidase S24-like	CM6_03_S228
0000000612	2_254	PF00717.18	54.8	1.5e-15	Peptidase_S24	-	PFAM	Peptidase S24-like	CM6_03_S228
0000000668	2_310	PF07883.6	45.6	1.1e-12	Cupin_2	-	PFAM	Cupin domain	CM6_03_S228
0000000899	3_201	PF05105.7	147.8	2.7999999999999995e-44	Phage_holin_4	-	PFAM	Holin family	CM6_03_S228
0000000899	3_201	TIGR01593	98.2	7.6e-29	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM6_03_S228
0000001021	4_49	PF00881.19	103.5	2.9000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM6_03_S228
0000001022	4_50	PF00903.20	45.6	1.9e-12	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM6_03_S228
0000001200	5_59	PF07927.7	57	4e-16	YcfA	-	PFAM	YcfA-like protein	CM6_03_S228
0000001295	5_154	PF00881.19	80.3	3.9e-23	Nitroreductase	-	PFAM	Nitroreductase family	CM6_03_S228
0000001339	6_34	PF00881.19	103.9	2.2000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM6_03_S228
0000001508	7_55	PF13958.1	124.5	8.7e-37	ToxN_toxin	-	PFAM	Toxin ToxN, type III toxin-antitoxin system	CM6_03_S228
0000001778	9_29	PF00903.20	60.9	3.3e-17	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM6_03_S228
0000001826	9_77	PF03372.18	94.7	2.4e-27	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family	CM6_03_S228
0000001845	9_96	K11068_1278_95_625	199.4	1.1000000000000002e-59	hlyIII	-	KEGG	hemolysin III	CM6_03_S228
0000001865	10_7	K11063_6	78.9	2.8000000000000003e-23	tcdAB	-	KEGG	toxin A\/B	CM6_03_S228
0000001866	10_8	K11060_3	54.2	2.1e-15	entB	-	KEGG	probable enterotoxin B	CM6_03_S228
0000001866	10_8	K11063_6	59.6	1.8e-17	tcdAB	-	KEGG	toxin A\/B	CM6_03_S228
0000001933	10_75	PF01636.18	52.2	2e-14	APH	-	PFAM	Phosphotransferase enzyme family	CM6_03_S228
0000001945	10_87	PF13950.1	81.7	7.599999999999999e-24	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit	CM6_03_S228
0000002125	12_73	PF00881.19	84.8	1.5999999999999999e-24	Nitroreductase	-	PFAM	Nitroreductase family	CM6_03_S228
0000002169	13_17	K03699_483	530.6	5.499999999999999e-160	tlyC	-	KEGG	putative hemolysin	CM6_03_S228
0000002320	14_52	PF13091.1	95.8	4.600000000000001e-28	PLDc_2	-	PFAM	PLD-like domain	CM6_03_S228
0000002335	14_67	PF07883.6	55.7	7.5e-16	Cupin_2	-	PFAM	Cupin domain	CM6_03_S228
0000002339	14_71	PF07883.6	69.5	3.7e-20	Cupin_2	-	PFAM	Cupin domain	CM6_03_S228
0000002355	14_87	PF02452.12	102.3	4.7000000000000004e-30	PemK	-	PFAM	PemK-like protein	CM6_03_S228
